header	source	subtype	strain	num_repeats	segment
blasthit|H1N1|A/San_Diego/INS203/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS203/2009	3	seg-1
blasthit|H1N1|A/District_of_Columbia/INS18/2009|2009-10-28	blasthit	H1N1	A/District_of_Columbia/INS18/2009	3	seg-1
blasthit|H7N7|A/Eurasian_Wigeon/Netherlands/5/2007|2007-10-22	blasthit	H7N7	A/Eurasian_Wigeon/Netherlands/5/2007	3	seg-1
blasthit|H4N6|A/American_black_duck/New_Brunswick/03554/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03554/2009	3	seg-2
blasthit|H1N1|A/Texas/JMS411/2010|2010-01-25	blasthit	H1N1	A/Texas/JMS411/2010	3	seg-2
blasthit|H1N1|A/District_of_Columbia/INS18/2009|2009-10-28	blasthit	H1N1	A/District_of_Columbia/INS18/2009	3	seg-2
blasthit|H1N1|A/San_Diego/INS203/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS203/2009	3	seg-2
blasthit|H6N1|A/mallard_duck/Netherlands/12/2012|2012-10-18	blasthit	H6N1	A/mallard_duck/Netherlands/12/2012	3	seg-2
blasthit|H1N1|A/San_Diego/INS202/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS202/2009	3	seg-2
blasthit|H4N6|A/American_black_duck/New_Brunswick/03556/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03556/2009	3	seg-2
blasthit|H7N7|A/Eurasian_Wigeon/Netherlands/5/2007|2007-10-22	blasthit	H7N7	A/Eurasian_Wigeon/Netherlands/5/2007	3	seg-2
blasthit|H7N7|A/mallard_duck/Netherlands/18/2015|2015-06-27	blasthit	H7N7	A/mallard_duck/Netherlands/18/2015	3	seg-2
blasthit|H4N6|A/mallard/Wisconsin/1621/1983|1983--	blasthit	H4N6	A/mallard/Wisconsin/1621/1983	3	seg-3
blasthit|H4N2|A/mallard_duck/Netherlands/18/2012|2012-08-21	blasthit	H4N2	A/mallard_duck/Netherlands/18/2012	3	seg-3
blasthit|H1N1|A/San_Diego/INS202/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS202/2009	3	seg-3
blasthit|H7N7|A/Eurasian_Wigeon/Netherlands/5/2007|2007-10-22	blasthit	H7N7	A/Eurasian_Wigeon/Netherlands/5/2007	3	seg-3
blasthit|H1N1|A/California/VRDL58/2009|2009-07-21	blasthit	H1N1	A/California/VRDL58/2009	3	seg-3
blasthit|H3N2|A/mallard_duck/Netherlands/16/2012|2012-08-17	blasthit	H3N2	A/mallard_duck/Netherlands/16/2012	3	seg-3
blasthit|H6N1|A/mallard_duck/Netherlands/12/2012|2012-10-18	blasthit	H6N1	A/mallard_duck/Netherlands/12/2012	3	seg-3
blasthit|H1N1|A/San_Diego/INS203/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS203/2009	3	seg-3
blasthit|H4N6|A/mallard/Wisconsin/1621/1983|1983--	blasthit	H4N6	A/mallard/Wisconsin/1621/1983	3	seg-5
blasthit|H4N2|A/mallard_duck/Netherlands/18/2012|2012-08-21	blasthit	H4N2	A/mallard_duck/Netherlands/18/2012	3	seg-5
blasthit|H4N6|A/American_black_duck/New_Brunswick/03556/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03556/2009	3	seg-5
blasthit|H1N1|A/Texas/JMS411/2010|2010-01-25	blasthit	H1N1	A/Texas/JMS411/2010	3	seg-5
blasthit|H6N1|A/mallard_duck/Netherlands/12/2012|2012-10-18	blasthit	H6N1	A/mallard_duck/Netherlands/12/2012	3	seg-5
blasthit|H1N1|A/District_of_Columbia/INS18/2009|2009-10-28	blasthit	H1N1	A/District_of_Columbia/INS18/2009	3	seg-5
blasthit|H2N3|A/black_duck/New_Jersey/1580/1978|1978--	blasthit	H2N3	A/black_duck/New_Jersey/1580/1978	3	seg-5
blasthit|H3N2|A/mallard_duck/Netherlands/16/2012|2012-08-17	blasthit	H3N2	A/mallard_duck/Netherlands/16/2012	3	seg-5
blasthit|H2N3|A/black_duck/New_Jersey/1580/1978|1978-02-04	blasthit	H2N3	A/black_duck/New_Jersey/1580/1978	3	seg-5
blasthit|H1N1|A/California/VRDL58/2009|2009-07-21	blasthit	H1N1	A/California/VRDL58/2009	3	seg-5
blasthit|H4N6|A/Mallard/Netherlands/33/2015|2015-08-16	blasthit	H4N6	A/Mallard/Netherlands/33/2015	3	seg-5
blasthit|H4N6|A/American_black_duck/New_Brunswick/03554/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03554/2009	3	seg-5
blasthit|H4N6|A/Mallard/Netherlands/33/2015|2015-08-16	blasthit	H4N6	A/Mallard/Netherlands/33/2015	3	seg-7
blasthit|H7N7|A/mallard_duck/Netherlands/18/2015|2015-06-27	blasthit	H7N7	A/mallard_duck/Netherlands/18/2015	3	seg-7
blasthit|H4N6|A/American_black_duck/New_Brunswick/03556/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03556/2009	3	seg-7
blasthit|H4N6|A/mallard/Wisconsin/1621/1983|1983--	blasthit	H4N6	A/mallard/Wisconsin/1621/1983	3	seg-8
blasthit|H4N6|A/American_black_duck/New_Brunswick/03554/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03554/2009	3	seg-8
