header	source	subtype	strain	num_repeats	segment
blasthit|H11N9|A/European_herring_gull/Netherlands/1/2015|2015-01-16	blasthit	H11N9	A/European_herring_gull/Netherlands/1/2015	1	seg-5
blasthit|H7N3|A/pheasant/Minnesota/917/1980|1980-08-20	blasthit	H7N3	A/pheasant/Minnesota/917/1980	1	seg-5
blasthit|H6N5|A/mallard_duck/Netherlands/60/2015|2015-09-12	blasthit	H6N5	A/mallard_duck/Netherlands/60/2015	1	seg-5
blasthit|H4N6|A/Mallard/Netherlands/39/2015|2015-09-08	blasthit	H4N6	A/Mallard/Netherlands/39/2015	1	seg-5
blasthit|H3N2|A/mallard/Minnesota/Sg_01040/2008|2008-09-14	blasthit	H3N2	A/mallard/Minnesota/Sg_01040/2008	1	seg-5
blasthit|H3N6|A/domestic_green_winged_teal/Hunan/2036/2007|2007-02-16	blasthit	H3N6	A/domestic_green_winged_teal/Hunan/2036/2007	1	seg-5
blasthit|H4N2|A/American_black_duck/Wisconsin/2542/2009|2009-10-05	blasthit	H4N2	A/American_black_duck/Wisconsin/2542/2009	1	seg-5
blasthit|H6N1|A/widgeon/Wisconsin/140/1980|1980--	blasthit	H6N1	A/widgeon/Wisconsin/140/1980	1	seg-7
blasthit|H2N3|A/mallard/Alberta/881/1984|1984-08-20	blasthit	H2N3	A/mallard/Alberta/881/1984	1	seg-7
blasthit|H4N1|A/mallard/Wisconsin/394/1977|1977--	blasthit	H4N1	A/mallard/Wisconsin/394/1977	1	seg-7
blasthit|H6N2|A/mallard_duck/Netherlands/18/2009|2009-10-08	blasthit	H6N2	A/mallard_duck/Netherlands/18/2009	1	seg-7
blasthit|H10N7|A/northern_shoveler/Minnesota/Sg_00612/2008|2008-07-29	blasthit	H10N7	A/northern_shoveler/Minnesota/Sg_00612/2008	1	seg-7
blasthit|H3N2|A/pintail/Wisconsin/424/1976|1976--	blasthit	H3N2	A/pintail/Wisconsin/424/1976	1	seg-7
blasthit|H4N6|A/cormorant/Mongolia/2/2003|2003-09-	blasthit	H4N6	A/cormorant/Mongolia/2/2003	1	seg-7
blasthit|H7N3|A/shorebird/Delaware/22/06|2006--	blasthit	H7N3	A/shorebird/Delaware/22/06	1	seg-7
blasthit|H4N6|A/mallard/Wisconsin/2322/1984|1984--	blasthit	H4N6	A/mallard/Wisconsin/2322/1984	1	seg-7
blasthit|H1N1|A/common_teal/Netherlands/3/2005|2005-12-05	blasthit	H1N1	A/common_teal/Netherlands/3/2005	1	seg-7
blasthit|H1N1|A/Uganda/MUWRP_059/2009|2009-07-22	blasthit	H1N1	A/Uganda/MUWRP_059/2009	1	seg-7
blasthit|H3N6|A/duck/Wisconsin/2843/1985|1985--	blasthit	H3N6	A/duck/Wisconsin/2843/1985	1	seg-7
blasthit|H1N1|A/Ytml/NIV9438/2009|2009-08-28	blasthit	H1N1	A/Ytml/NIV9438/2009	1	seg-7
blasthit|H10N2|A/duck/Hokkaido/W87/2007|2007-09-27	blasthit	H10N2	A/duck/Hokkaido/W87/2007	1	seg-7
blasthit|H4N6|A/mallard/Saskatchewan/117/1982|1982--	blasthit	H4N6	A/mallard/Saskatchewan/117/1982	1	seg-7
blasthit|H2N3|A/duck/Wisconsin/2409/1985|1985--	blasthit	H2N3	A/duck/Wisconsin/2409/1985	1	seg-7
blasthit|H4N3|A/Mallard/Netherlands/31/2014|2014-09-20	blasthit	H4N3	A/Mallard/Netherlands/31/2014	1	seg-7
blasthit|H1N1|A/Viet_Nam/11032011/2009|2009-12-17	blasthit	H1N1	A/Viet_Nam/11032011/2009	1	seg-7
blasthit|H3N6|A/pintail_duck/ALB/462/1979|1979-08-10	blasthit	H3N6	A/pintail_duck/ALB/462/1979	1	seg-7
blasthit|H1N1|A/Wisconsin/53/2009|2009-09-01	blasthit	H1N1	A/Wisconsin/53/2009	1	seg-7
blasthit|H7N4|A/ruddy_turnstone/Delaware_Bay/290/2006|2006-05-22	blasthit	H7N4	A/ruddy_turnstone/Delaware_Bay/290/2006	1	seg-7
blasthit|H6N1|A/mallard_duck/ALB/730/1981|1981-08-22	blasthit	H6N1	A/mallard_duck/ALB/730/1981	1	seg-7
blasthit|H1N1|A/Wisconsin/629_D00134/2009|2009-11-23	blasthit	H1N1	A/Wisconsin/629_D00134/2009	1	seg-7
blasthit|H7N3|A/shorebird/Delaware_Bay/555/2006|2006-05-23	blasthit	H7N3	A/shorebird/Delaware_Bay/555/2006	1	seg-7
blasthit|H4N6|A/grebe/Mongolia/24/2003|2003-09-	blasthit	H4N6	A/grebe/Mongolia/24/2003	1	seg-7
blasthit|H1N1|A/Viet_Nam/001_1020/2009|2009-11-15	blasthit	H1N1	A/Viet_Nam/001_1020/2009	1	seg-7
blasthit|H4N3|A/pintail_duck/New_York/155/1982|1982-12-01	blasthit	H4N3	A/pintail_duck/New_York/155/1982	1	seg-7
blasthit|H6N1|A/greater_white_fronted_goose/Netherlands/1/2010|2010-01-20	blasthit	H6N1	A/greater_white_fronted_goose/Netherlands/1/2010	1	seg-7
blasthit|H4N8|A/mallard/Wisconsin/120/1980|1980--	blasthit	H4N8	A/mallard/Wisconsin/120/1980	1	seg-7
blasthit|H13N6|A/gull/Astrakhan/1846/1998|1998--	blasthit	H13N6	A/gull/Astrakhan/1846/1998	1	seg-7
blasthit|H4N6|A/pintail_duck/ALB/159/1977|1977-08-31	blasthit	H4N6	A/pintail_duck/ALB/159/1977	1	seg-7
blasthit|H3N8|A/blue_winged_teal/Wisconsin/124/1980|1980--	blasthit	H3N8	A/blue_winged_teal/Wisconsin/124/1980	1	seg-7
blasthit|H3N8|A/mallard_duck/Netherlands/13/2012|2012-10-01	blasthit	H3N8	A/mallard_duck/Netherlands/13/2012	1	seg-7
blasthit|H2N3|A/mallard/Wisconsin/222/1982|1982--	blasthit	H2N3	A/mallard/Wisconsin/222/1982	1	seg-7
blasthit|H1N1|A/Wisconsin/629_D02367/2009|2009-09-08	blasthit	H1N1	A/Wisconsin/629_D02367/2009	1	seg-7
blasthit|H7N3|A/mallard_duck/Netherlands/23/2013|2013-04-09	blasthit	H7N3	A/mallard_duck/Netherlands/23/2013	1	seg-7
blasthit|H5N1|A/duck/Hokkaido/Vac_1/04|2004--	blasthit	H5N1	A/duck/Hokkaido/Vac_1/04	1	seg-7
blasthit|H7N3|A/shorebird/Delaware_Bay/513/2006|2006-05-23	blasthit	H7N3	A/shorebird/Delaware_Bay/513/2006	1	seg-7
blasthit|H3N8|A/turnstone/Netherlands/4/2008|2008-11-01	blasthit	H3N8	A/turnstone/Netherlands/4/2008	1	seg-7
blasthit|H1N1|A/Wisconsin/629_D01347/2009|2009-11-16	blasthit	H1N1	A/Wisconsin/629_D01347/2009	1	seg-7
blasthit|H10N3|A/mallard/Minnesota/Sg_00195/2007|2007-09-22	blasthit	H10N3	A/mallard/Minnesota/Sg_00195/2007	1	seg-7
blasthit|H7N3|A/shorebird/Delaware_Bay/560/2006|2006-05-23	blasthit	H7N3	A/shorebird/Delaware_Bay/560/2006	1	seg-7
blasthit|H1N1|A/Ulaanbaatar/6525/2009|2009-10-22	blasthit	H1N1	A/Ulaanbaatar/6525/2009	1	seg-7
blasthit|H12N5|A/Duck/Alberta/60/1976|1976--	blasthit	H12N5	A/Duck/Alberta/60/1976	1	seg-7
blasthit|H6N5|A/duck/Hunan/5613/2003|2003--	blasthit	H6N5	A/duck/Hunan/5613/2003	1	seg-7
blasthit|mixed|A/ruddy_turnstone/New_Jersey/1523485/2006|2006-05-17	blasthit	mixed	A/ruddy_turnstone/New_Jersey/1523485/2006	1	seg-7
blasthit|H9N2|A/duck/Wuhan/WHYF05/2014|2014-12-	blasthit	H9N2	A/duck/Wuhan/WHYF05/2014	1	seg-7
blasthit|H7N3|A/ruddy_turnstone/New_Jersey/65/85|1985--	blasthit	H7N3	A/ruddy_turnstone/New_Jersey/65/85	1	seg-7
blasthit|H4N6|A/duck/Wisconsin/2731/1985|1985--	blasthit	H4N6	A/duck/Wisconsin/2731/1985	1	seg-7
blasthit|H1N1|A/Vienna/INS291/2009|2009-11-19	blasthit	H1N1	A/Vienna/INS291/2009	1	seg-7
blasthit|H1N1|A/Viet_Nam/11032010/2009|2009-12-17	blasthit	H1N1	A/Viet_Nam/11032010/2009	1	seg-7
blasthit|H6N1|A/mallard/Wisconsin/1/1980|1980--	blasthit	H6N1	A/mallard/Wisconsin/1/1980	1	seg-7
blasthit|H1N1|A/Yamaguchi/23/2009|2009-06-22	blasthit	H1N1	A/Yamaguchi/23/2009	1	seg-7
blasthit|H7N3|A/red_knot/New_Jersey/253/2006|2006--	blasthit	H7N3	A/red_knot/New_Jersey/253/2006	1	seg-7
blasthit|H1N1|A/Toronto/T0106/2009|2009-07-07	blasthit	H1N1	A/Toronto/T0106/2009	1	seg-7
blasthit|H10N2|A/avian/Israel/824/2005|2005-06-	blasthit	H10N2	A/avian/Israel/824/2005	1	seg-7
blasthit|H6N2|A/Eurasian_wigeon/Netherlands/1/2006|2006-12-21	blasthit	H6N2	A/Eurasian_wigeon/Netherlands/1/2006	1	seg-7
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/3/2006|2006-01-03	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/3/2006	1	seg-7
blasthit|H11N1|A/chicken/New_Jersey/15906_9/1996|1996--	blasthit	H11N1	A/chicken/New_Jersey/15906_9/1996	1	seg-7
blasthit|H7N4|A/Eurasian_wigeon/Netherlands/2/2008|2008-12-29	blasthit	H7N4	A/Eurasian_wigeon/Netherlands/2/2008	1	seg-7
blasthit|H10N7|A/duck/Hokkaido/W90/2007|2007-09-27	blasthit	H10N7	A/duck/Hokkaido/W90/2007	1	seg-7
blasthit|mixed|A/American_black_duck/New_Brunswick/00951/2010|2010-09-15	blasthit	mixed	A/American_black_duck/New_Brunswick/00951/2010	1	seg-7
blasthit|H5N2|A/wild_bird/Minnesota/460613_12/2006|2006--	blasthit	H5N2	A/wild_bird/Minnesota/460613_12/2006	1	seg-7
blasthit|H1N1|A/Viet_Nam/001_1424/2009|2009-11-05	blasthit	H1N1	A/Viet_Nam/001_1424/2009	1	seg-7
blasthit|H1N1|A/mallard/Tennessee/11464/1985|1985-01-16	blasthit	H1N1	A/mallard/Tennessee/11464/1985	1	seg-7
blasthit|H1N1|A/Viet_Nam/15032004/2009|2009-11-22	blasthit	H1N1	A/Viet_Nam/15032004/2009	1	seg-7
blasthit|H7N3|A/ruddy_turnstone/New_Jersey/179/2006|2006--	blasthit	H7N3	A/ruddy_turnstone/New_Jersey/179/2006	1	seg-7
blasthit|H1N1|A/Wisconsin/629_D00965/2009|2009-11-14	blasthit	H1N1	A/Wisconsin/629_D00965/2009	1	seg-7
blasthit|H1N1|A/Warsaw/INS316/2009|2009-12-08	blasthit	H1N1	A/Warsaw/INS316/2009	1	seg-7
blasthit|H1N1|A/Wisconsin/629_D00689/2009|2009-12-09	blasthit	H1N1	A/Wisconsin/629_D00689/2009	1	seg-7
blasthit|H5N2|A/gadwall/Altai/1202/2007|2007-09-	blasthit	H5N2	A/gadwall/Altai/1202/2007	1	seg-7
blasthit|mixed|A/American_black_duck/New_Brunswick/00914/2010|2010-09-14	blasthit	mixed	A/American_black_duck/New_Brunswick/00914/2010	1	seg-7
blasthit|H11N9|A/mallard/Wisconsin/443/1979|1979--	blasthit	H11N9	A/mallard/Wisconsin/443/1979	1	seg-7
blasthit|H3N2|A/mallard/Netherlands/39/2008|2008-10-08	blasthit	H3N2	A/mallard/Netherlands/39/2008	1	seg-7
blasthit|H1N1|A/mallard/Wisconsin/795/1976|1976--	blasthit	H1N1	A/mallard/Wisconsin/795/1976	1	seg-7
blasthit|H1N1|A/mallard_duck/Netherlands/18/2014|2014-08-27	blasthit	H1N1	A/mallard_duck/Netherlands/18/2014	1	seg-7
blasthit|H1N3|A/mallard/Wisconsin/1092/1982|1982--	blasthit	H1N3	A/mallard/Wisconsin/1092/1982	1	seg-7
blasthit|H7N3|A/ruddy_turnstone/New_Jersey/577/2006|2006--	blasthit	H7N3	A/ruddy_turnstone/New_Jersey/577/2006	1	seg-7
blasthit|H7N3|A/ruddy_turnstone/New_Jersey/564/2006|2006--	blasthit	H7N3	A/ruddy_turnstone/New_Jersey/564/2006	1	seg-7
blasthit|H7N3|A/ruddy_turnstone/Delaware/779/2006|2006--	blasthit	H7N3	A/ruddy_turnstone/Delaware/779/2006	1	seg-7
blasthit|H5N3|A/mallard/Wisconsin/169/75|1975--	blasthit	H5N3	A/mallard/Wisconsin/169/75	1	seg-7
blasthit|H11N8|A/mallard/Sweden/45/2002|2002-11-13	blasthit	H11N8	A/mallard/Sweden/45/2002	1	seg-7
blasthit|H5N3|A/mallard_duck/Netherlands/1/2008|2008-01-30	blasthit	H5N3	A/mallard_duck/Netherlands/1/2008	1	seg-7
blasthit|H3N6|A/duck/Hokkaido/221/2008|2008-11-11	blasthit	H3N6	A/duck/Hokkaido/221/2008	1	seg-7
blasthit|H7N3|A/shorebird/Delaware_Bay/332/2006|2006-05-23	blasthit	H7N3	A/shorebird/Delaware_Bay/332/2006	1	seg-7
blasthit|H6N8|A/mallard_duck/Netherlands/17/2009|2009-10-06	blasthit	H6N8	A/mallard_duck/Netherlands/17/2009	1	seg-7
blasthit|mixed|A/mallard/Netherlands/32/2014|2014-09-20	blasthit	mixed	A/mallard/Netherlands/32/2014	1	seg-7
blasthit|H3N8|A/duck/Hokkaido/27/2011|2011-09-30	blasthit	H3N8	A/duck/Hokkaido/27/2011	1	seg-7
blasthit|H7N3|A/ruddy_turnstone/New_Jersey/189/2006|2006--	blasthit	H7N3	A/ruddy_turnstone/New_Jersey/189/2006	1	seg-7
blasthit|H4N9|A/WDk/ST/988/2000|2000--	blasthit	H4N9	A/WDk/ST/988/2000	1	seg-7
blasthit|H3N2|A/blue_winged_teal/Wisconsin/156/1980|1980--	blasthit	H3N2	A/blue_winged_teal/Wisconsin/156/1980	1	seg-7
blasthit|H4N6|A/mallard/Sweden/54/2002|2002-11-16	blasthit	H4N6	A/mallard/Sweden/54/2002	1	seg-7
blasthit|H5N2|A/duck/Mongolia/54/2001|2001--	blasthit	H5N2	A/duck/Mongolia/54/2001	1	seg-7
blasthit|H12N5|A/mallard_duck/ALB/60/1976|1976-08-12	blasthit	H12N5	A/mallard_duck/ALB/60/1976	1	seg-7
blasthit|H4N6|A/pintail/Alberta/119/1979|1979--	blasthit	H4N6	A/pintail/Alberta/119/1979	1	seg-7
blasthit|H5N2|A/green_winged_teal/Delaware/468157_6/2006|2006--	blasthit	H5N2	A/green_winged_teal/Delaware/468157_6/2006	1	seg-7
blasthit|H4N9|A/ruddy_turnstone/NJ/49/1985|1985-05-29	blasthit	H4N9	A/ruddy_turnstone/NJ/49/1985	1	seg-7
blasthit|H10N1|A/wild_bird/Korea/A323/2009|2009-11-	blasthit	H10N1	A/wild_bird/Korea/A323/2009	1	seg-7
blasthit|H3N2|A/environment/Korea/ESD11/2003|2003-12-22	blasthit	H3N2	A/environment/Korea/ESD11/2003	1	seg-7
blasthit|H5N2|A/mallard/Wisconsin/487/1983|1983--	blasthit	H5N2	A/mallard/Wisconsin/487/1983	1	seg-7
blasthit|H6N2|A/mallard_duck/Netherlands/13/2005|2005-11-07	blasthit	H6N2	A/mallard_duck/Netherlands/13/2005	1	seg-8
blasthit|H4N9|A/mallard/Sweden/80261/2008|2008-11-21	blasthit	H4N9	A/mallard/Sweden/80261/2008	1	seg-8
blasthit|H6N2|A/wild_bird/Wuhan/CDHN09/2015|2015-01-	blasthit	H6N2	A/wild_bird/Wuhan/CDHN09/2015	1	seg-8
blasthit|H3N6|A/mallard_duck/Alberta/331/1985|1985-08-18	blasthit	H3N6	A/mallard_duck/Alberta/331/1985	1	seg-8
blasthit|H1N1|A/Viet_Nam/13032074/2009|2009-10-23	blasthit	H1N1	A/Viet_Nam/13032074/2009	1	seg-8
blasthit|H3N2|A/blue_winged_teal/Wisconsin/109/1980|1980--	blasthit	H3N2	A/blue_winged_teal/Wisconsin/109/1980	1	seg-8
blasthit|H1N1|A/Viet_Nam/13032048/2009|2009-09-17	blasthit	H1N1	A/Viet_Nam/13032048/2009	1	seg-8
blasthit|H1N1|A/Viet_Nam/15032002/2009|2009-11-07	blasthit	H1N1	A/Viet_Nam/15032002/2009	1	seg-8
blasthit|H5N3|A/blue_winged_teal/Guatemala/CIP049H105_05/2011|2011-12-08	blasthit	H5N3	A/blue_winged_teal/Guatemala/CIP049H105_05/2011	1	seg-8
blasthit|H12N4|A/slaty_backed_gull/Delaware_Bay/101/2014|2014-05-19	blasthit	H12N4	A/slaty_backed_gull/Delaware_Bay/101/2014	1	seg-8
blasthit|H7N1|A/mallard_duck/Netherlands/86/2008|2008-02-23	blasthit	H7N1	A/mallard_duck/Netherlands/86/2008	1	seg-8
blasthit|H10N7|A/northern_shoveler/California/HKWF392sm/2007|2007-11-03	blasthit	H10N7	A/northern_shoveler/California/HKWF392sm/2007	1	seg-8
blasthit|H1N1|A/mallard_duck/Minnesota/Sg_00121/2007|2007-09-26	blasthit	H1N1	A/mallard_duck/Minnesota/Sg_00121/2007	1	seg-8
blasthit|H6N4|A/mallard/Wisconsin/770/1982|1982--	blasthit	H6N4	A/mallard/Wisconsin/770/1982	1	seg-8
blasthit|H2N3|A/mallard/Minnesota/AI06_1029/2006|2006--	blasthit	H2N3	A/mallard/Minnesota/AI06_1029/2006	1	seg-8
blasthit|H1N1|A/mallard_duck/ALB/46/1977|1977-08-08	blasthit	H1N1	A/mallard_duck/ALB/46/1977	1	seg-8
blasthit|H1N1|A/mallard/Alberta/127/1977|1977-08-22	blasthit	H1N1	A/mallard/Alberta/127/1977	1	seg-8
blasthit|H4N6|A/blue_winged_teal/Iowa/13OS2359/2013|2013-09-21	blasthit	H4N6	A/blue_winged_teal/Iowa/13OS2359/2013	1	seg-8
blasthit|H3N2|A/muscovy_duck/Vietnam/LBM115/2012|2012-07-11	blasthit	H3N2	A/muscovy_duck/Vietnam/LBM115/2012	1	seg-8
blasthit|H6N8|A/mallard/Minnesota/AI09_2749/2009|2009-09-04	blasthit	H6N8	A/mallard/Minnesota/AI09_2749/2009	1	seg-8
blasthit|H10N4|A/mallard/Republic_of_Georgia/12/2011|2011-02-11	blasthit	H10N4	A/mallard/Republic_of_Georgia/12/2011	1	seg-8
blasthit|H7N9|A/Anas_crecca/Spain/1460/2008|2008-01-26	blasthit	H7N9	A/Anas_crecca/Spain/1460/2008	1	seg-8
blasthit|H1N1|A/Viet_Nam/001_1716/2009|2009-09-22	blasthit	H1N1	A/Viet_Nam/001_1716/2009	1	seg-8
blasthit|H4N6|A/duck/Moscow/3740/2009|2009-09-	blasthit	H4N6	A/duck/Moscow/3740/2009	1	seg-8
blasthit|H8N4|A/mallard/Wisconsin/11OS4489/2011|2011-11-20	blasthit	H8N4	A/mallard/Wisconsin/11OS4489/2011	1	seg-8
blasthit|H8N4|A/mallard/Wisconsin/2086/1984|1984--	blasthit	H8N4	A/mallard/Wisconsin/2086/1984	1	seg-8
blasthit|H7N7|A/blue_winged_teal/Texas/UGAI14_1210TX/2014|2014-03-09	blasthit	H7N7	A/blue_winged_teal/Texas/UGAI14_1210TX/2014	1	seg-8
blasthit|H4N6|A/redhead/Ohio/13OS0376/2013|2013-02-	blasthit	H4N6	A/redhead/Ohio/13OS0376/2013	1	seg-8
blasthit|H14N3|A/blue_winged_teal/Guatemala/CIP049H105_31/2011|2011-12-08	blasthit	H14N3	A/blue_winged_teal/Guatemala/CIP049H105_31/2011	1	seg-8
blasthit|H5N2|A/mallard/Wisconsin/232/1976|1976--	blasthit	H5N2	A/mallard/Wisconsin/232/1976	1	seg-8
blasthit|H1N1|A/Wroclaw/INS435/2009|2009-12-03	blasthit	H1N1	A/Wroclaw/INS435/2009	1	seg-8
blasthit|H7N7|A/swan/Czech_Republic/5416/2011|2011-04-06	blasthit	H7N7	A/swan/Czech_Republic/5416/2011	1	seg-8
blasthit|H7N3|A/mallard_duck/Alberta/435/1985|1985-08-20	blasthit	H7N3	A/mallard_duck/Alberta/435/1985	1	seg-8
blasthit|H6N2|A/mallard_duck/Netherlands/3/2008|2008-01-07	blasthit	H6N2	A/mallard_duck/Netherlands/3/2008	1	seg-8
blasthit|H8N4|A/mallard/Wisconsin/2080/1984|1984--	blasthit	H8N4	A/mallard/Wisconsin/2080/1984	1	seg-8
blasthit|H6N4|A/mallard_duck/Netherlands/30/2011|2011-10-19	blasthit	H6N4	A/mallard_duck/Netherlands/30/2011	1	seg-8
blasthit|H1N1|A/Uganda/MUWRP_137/2009|2009-11-03	blasthit	H1N1	A/Uganda/MUWRP_137/2009	1	seg-8
blasthit|H1N1|A/Tomsk/273_MA1/2010|2010--	blasthit	H1N1	A/Tomsk/273_MA1/2010	1	seg-8
blasthit|H10N7|A/ruddy_shelduck/Mongolia/974/2010|2010-07-10	blasthit	H10N7	A/ruddy_shelduck/Mongolia/974/2010	1	seg-8
blasthit|H6N6|A/sanderling/DE/1258/1986|1986-09-09	blasthit	H6N6	A/sanderling/DE/1258/1986	1	seg-8
blasthit|H4N6|A/ruddy_turnstone/New_Jersey/47/1985|1985--	blasthit	H4N6	A/ruddy_turnstone/New_Jersey/47/1985	1	seg-8
blasthit|H5N2|A/mallard/Wisconsin/994/1982|1982--	blasthit	H5N2	A/mallard/Wisconsin/994/1982	1	seg-8
blasthit|H4N2|A/turkey/Minnesota/833/1980|1979-09-01	blasthit	H4N2	A/turkey/Minnesota/833/1980	1	seg-8
blasthit|H6N2|A/black_duck/Ohio/307/1987|1987-10-19	blasthit	H6N2	A/black_duck/Ohio/307/1987	1	seg-8
blasthit|H2N2|A/mallard/New_York/6750/1978|1978--	blasthit	H2N2	A/mallard/New_York/6750/1978	1	seg-8
blasthit|H3N8|A/mallard/Alberta/527/2008|2008-08-08	blasthit	H3N8	A/mallard/Alberta/527/2008	1	seg-8
blasthit|H5N3|A/mallard_duck/Netherlands/38/2008|2008-10-08	blasthit	H5N3	A/mallard_duck/Netherlands/38/2008	1	seg-8
blasthit|H1N1|A/Viet_Nam/13032011/2009|2009-08-20	blasthit	H1N1	A/Viet_Nam/13032011/2009	1	seg-8
blasthit|H7N7|A/mallard_duck/Netherlands/2/2009|2009-01-09	blasthit	H7N7	A/mallard_duck/Netherlands/2/2009	1	seg-8
blasthit|H4N2|A/mallard/Wisconsin/867/1982|1982--	blasthit	H4N2	A/mallard/Wisconsin/867/1982	1	seg-8
blasthit|H6N8|A/barnacle_goose/Netherlands/1/2011|2011-01-06	blasthit	H6N8	A/barnacle_goose/Netherlands/1/2011	1	seg-8
blasthit|H1N1|A/Trans_nzoia/168/2009|2009-10-	blasthit	H1N1	A/Trans_nzoia/168/2009	1	seg-8
blasthit|H3N2|A/blue_winged_teal/Guatemala/CIP049H103_20/2011|2011-11-25	blasthit	H3N2	A/blue_winged_teal/Guatemala/CIP049H103_20/2011	1	seg-8
blasthit|H6N8|A/barnacle_goose/Netherlands/1/2010|2010-01-08	blasthit	H6N8	A/barnacle_goose/Netherlands/1/2010	1	seg-8
blasthit|H4N1|A/mallard_duck/ALB/291/1977|1977-08-28	blasthit	H4N1	A/mallard_duck/ALB/291/1977	1	seg-8
blasthit|H11N9|A/green_winged_teal/Ohio/496/1987|1987--	blasthit	H11N9	A/green_winged_teal/Ohio/496/1987	1	seg-8
blasthit|H3N8|A/mallard/Minnesota/Sg_00804/2008|2008-09-01	blasthit	H3N8	A/mallard/Minnesota/Sg_00804/2008	1	seg-8
blasthit|H7N1|A/mallard/Minnesota/AI09_1714/2009|2009-07-26	blasthit	H7N1	A/mallard/Minnesota/AI09_1714/2009	1	seg-8
blasthit|H1N1|A/Viet_Nam/13032100/2009|2009-11-15	blasthit	H1N1	A/Viet_Nam/13032100/2009	1	seg-8
blasthit|H1N1|A/Viet_Nam/11032021/2009|2009-12-30	blasthit	H1N1	A/Viet_Nam/11032021/2009	1	seg-8
blasthit|H6N2|A/blue_winged_teal/ALB/69/1985|1985-08-13	blasthit	H6N2	A/blue_winged_teal/ALB/69/1985	1	seg-8
blasthit|H3N1|A/mallard/Minnesota/AI09_3228/2009|2009-09-08	blasthit	H3N1	A/mallard/Minnesota/AI09_3228/2009	1	seg-8
blasthit|H2N3|A/chicken/OH/494832/2007|2007-04-	blasthit	H2N3	A/chicken/OH/494832/2007	1	seg-8
blasthit|H4N6|A/mallard/Sweden/4514/2004|2004-08-01	blasthit	H4N6	A/mallard/Sweden/4514/2004	1	seg-8
blasthit|H7N3|A/mallard/Alberta/699/1981|1981-08-21	blasthit	H7N3	A/mallard/Alberta/699/1981	1	seg-8
blasthit|H10N7|A/mallard_duck/Netherlands/2/2011|2011-03-08	blasthit	H10N7	A/mallard_duck/Netherlands/2/2011	1	seg-8
blasthit|H6N1|A/Eurasian_teal/Netherlands/1/2008|2008-09-22	blasthit	H6N1	A/Eurasian_teal/Netherlands/1/2008	1	seg-8
blasthit|H3N2|A/American_green_winged_teal/Ohio/13OS1778/2013|2013-09-14	blasthit	H3N2	A/American_green_winged_teal/Ohio/13OS1778/2013	1	seg-8
blasthit|H2N3|A/duck/OH/492493/2007|2007-04-	blasthit	H2N3	A/duck/OH/492493/2007	1	seg-8
blasthit|H4N6|A/mallard/Netherlands/89/2017|2017-08-26	blasthit	H4N6	A/mallard/Netherlands/89/2017	1	seg-8
blasthit|H6N1|A/mallard_duck/Netherlands/8/2008|2008-09-27	blasthit	H6N1	A/mallard_duck/Netherlands/8/2008	1	seg-8
blasthit|H11N9|A/black_duck/Ohio/239/1986|1986-11-07	blasthit	H11N9	A/black_duck/Ohio/239/1986	1	seg-8
blasthit|H5N2|A/mallard/Wisconsin/944/1982|1982--	blasthit	H5N2	A/mallard/Wisconsin/944/1982	1	seg-8
blasthit|H4N6|A/mallard/Interior_Alaska/10CH00021R0/2010|2010-09-04	blasthit	H4N6	A/mallard/Interior_Alaska/10CH00021R0/2010	1	seg-8
blasthit|H1N1|A/shelduck/Yasnopolyanske/4_08_02/2011|2011-02-08	blasthit	H1N1	A/shelduck/Yasnopolyanske/4_08_02/2011	1	seg-8
blasthit|H11N9|A/mallard/Wisconsin/789/1976|1976--	blasthit	H11N9	A/mallard/Wisconsin/789/1976	1	seg-8
blasthit|H6N2|A/mallard/Ohio/344/1987|1987-10-19	blasthit	H6N2	A/mallard/Ohio/344/1987	1	seg-8
blasthit|H5N3|A/mallard_duck/Netherlands/19/2009|2009-10-26	blasthit	H5N3	A/mallard_duck/Netherlands/19/2009	1	seg-8
blasthit|H8N4|A/blue_winged_teal/Guatemala/CIP049_07/2010|2010-01-31	blasthit	H8N4	A/blue_winged_teal/Guatemala/CIP049_07/2010	1	seg-8
blasthit|H11N9|A/mallard_duck/Netherlands/26/2011|2011-10-10	blasthit	H11N9	A/mallard_duck/Netherlands/26/2011	1	seg-8
blasthit|H1N2|A/wild_boar/Brazil/214_11_13D/2011|2011-07-25	blasthit	H1N2	A/wild_boar/Brazil/214_11_13D/2011	1	seg-8
blasthit|H8N4|A/mallard/Netherlands/1/2006|2006--	blasthit	H8N4	A/mallard/Netherlands/1/2006	1	seg-8
blasthit|H6N1|A/greater_white_fronted_goose/Netherlands/11/2009|2009-12-09	blasthit	H6N1	A/greater_white_fronted_goose/Netherlands/11/2009	1	seg-8
blasthit|H10N7|A/northern_shoveler/California/HKWF96/2007|2007-10-24	blasthit	H10N7	A/northern_shoveler/California/HKWF96/2007	1	seg-8
blasthit|H6N2|A/mallard_duck/ALB/10/1985|1985-08-13	blasthit	H6N2	A/mallard_duck/ALB/10/1985	1	seg-8
blasthit|H9N2|A/mallard/Sweden/99668/2009|2009-09-17	blasthit	H9N2	A/mallard/Sweden/99668/2009	1	seg-8
